RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Habitat description,Record comment,Determiner name
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,17/07/2009,17/07/2009,D,17/07/2009,NBNSYS0000188576,Echinus esculentus,,-6.09342742,54.02754725,WGS84,100,,Carlingford Lough,Phil Scott,,FALSE,FALSE,,sloping rocky reef,South East facing rocky slope from 10-20m bsl. Kelp park and red seaweeds in the shallows with sponge and dead mens fingers in animal turf below.,Phil Scott
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,17/07/2009,17/07/2009,D,17/07/2009,NBNSYS0000175994,Laminaria hyperborea,,-6.09342742,54.02754725,WGS84,100,,Carlingford Lough,Phil Scott,,FALSE,FALSE,,sloping rocky reef,South East facing rocky slope from 10-20m bsl. Kelp park and red seaweeds in the shallows with sponge and dead mens fingers in animal turf below.,Phil Scott
9.97666E+16,2ef53e7c-eaf9-11ec-9fe0-e454e8915339,,13/06/2021,13/06/2021,D,13/06/2021,NBNSYS0000188576,Echinus esculentus,,-6.06129352,54.01778222,WGS84,100,,Carlingford Lough,Aidan Gray Tommy Brennan,,FALSE,FALSE,,Wreckage with mixed seaweeds and faunal turf on coarse sediment with kelp and seaweeds,Wreckage with mixed seaweeds and faunal turf on a coarse sediment seabed with kelp and seaweeds.,Aidan Gray
9.97666E+16,2ef53e7c-eaf9-11ec-9fe0-e454e8915339,,13/06/2021,13/06/2021,D,13/06/2021,NBNSYS0000183239,Laminariales,,-6.06129352,54.01778222,WGS84,100,,Carlingford Lough,Aidan Gray Tommy Brennan,,FALSE,FALSE,,Wreckage with mixed seaweeds and faunal turf on coarse sediment with kelp and seaweeds,Wreckage with mixed seaweeds and faunal turf on a coarse sediment seabed with kelp and seaweeds.,Aidan Gray
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,17/07/2009,17/07/2009,D,17/07/2009,NBNSYS0000188576,Echinus esculentus,,-6.09342742,54.02754725,WGS84,100,,Carlingford Lough,Don Baldwin Frank Berg,,FALSE,FALSE,,sloping rocky reef,South East facing rocky slope from 10-20m bsl. Kelp park and red seaweeds in the shallows with sponges and dead mens fingers in animal turf below.,Don Baldwin
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,13/06/2009,13/06/2009,D,13/06/2009,NBNSYS0000188576,Echinus esculentus,,-6.08999704,54.02000073,WGS84,100,,Carlingford Lough,Eamonn Breen Frank Berg,,FALSE,FALSE,,steeply sloping rocky reef,"Steeply sloping, northward facing, rock seabed with small ledges from 8-17.5m bsl. Kelp park in the shallows then short animal turf dominated by sea squirts. cobbles and pebbles at base of reef.for abundance of lightbulb sea squirts and attached life on r",Eamonn Breen
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,13/06/2009,13/06/2009,D,13/06/2009,NBNSYS0000175994,Laminaria hyperborea,,-6.08999704,54.02000073,WGS84,100,,Carlingford Lough,Louise Gilligan Roderick O'Conor,,FALSE,FALSE,,sloping rocky reef,"Sloping, north-eastward facing, rock seabed from 6-18m bsl. Kelp forest in the shallows then short animal turf dominated by sea squirts and sponges. for abundance of lightbulb sea squirts and attached life on reef.",Louise Gilligan
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,13/06/2009,13/06/2009,D,13/06/2009,NBNSYS0000188576,Echinus esculentus,,-6.08999704,54.02000073,WGS84,100,,Carlingford Lough,Louise Gilligan Roderick O'Conor,,FALSE,FALSE,,sloping rocky reef,"Sloping, north-eastward facing, rock seabed from 6-18m bsl. Kelp forest in the shallows then short animal turf dominated by sea squirts and sponges. for abundance of lightbulb sea squirts and attached life on reef.",Louise Gilligan
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,13/06/2009,13/06/2009,D,13/06/2009,NBNSYS0000188576,Echinus esculentus,,-6.08999704,54.02000073,WGS84,100,,Carlingford Lough,Deirdre Greer Ethel Geoghegan,,FALSE,FALSE,,recky reef with sea squirts,"Sloping, westward facing, rock seabed from 7-20m bsl. Kelp in the shallows then short animal turf of sea squirts and sponges. Sand and gravel at base of reef.for abundance of sea squirts and tompot blennies.",Deirdre Greer
9.97666E+16,032b7fee-eaf9-11ec-9fe0-e454e8915339,,13/06/2009,13/06/2009,D,13/06/2009,NBNSYS0000188576,Echinus esculentus,,-6.08999704,54.02000073,WGS84,100,,Carlingford Lough,Don Baldwin Phil Scott,,FALSE,FALSE,,sloping rocky reef,"Steeply sloping, north facing, rock seabed from 6-20m bsl. Kelp forest/park  in the shallows then abundant short animal turf below.",Phil Scott
